id,EAP,HPL,MWS
id02310,0.124264,0.032115,0.843621
id24541,0.878459,0.070907,0.050634
id00134,0.347521,0.638791,0.013687
id27757,0.631963,0.360736,0.007302
id04081,0.824124,0.123452,0.052425
id27337,0.542052,0.415569,0.042379
id24265,0.505838,0.324903,0.169260
id25917,0.112958,0.248671,0.638372
id04951,0.945008,0.051764,0.003228
id14549,0.656631,0.189095,0.154274
id22505,0.167811,0.072946,0.759242
id24002,0.002341,0.996850,0.000810
id18982,0.145648,0.636671,0.217681
id15181,0.025014,0.970463,0.004523
id21888,0.712559,0.094525,0.192916
id12035,0.020802,0.006125,0.973073
id17991,0.150953,0.043698,0.805349
id10707,0.988816,0.004482,0.006703
id07101,0.100928,0.253762,0.645310
id00345,0.158573,0.817345,0.024082
id05912,0.763915,0.139499,0.096586
id13443,0.815466,0.025421,0.159114
id09248,0.109378,0.105336,0.785285
id17542,0.035636,0.948969,0.015396
id06995,0.068677,0.013172,0.918151
id25159,0.372948,0.094781,0.532271
id25729,0.716396,0.228537,0.055067
id26949,0.889241,0.079458,0.031301
id27191,0.665673,0.036807,0.297521
id07668,0.386664,0.009053,0.604283
id02230,0.323774,0.144767,0.531459
id15553,0.931963,0.026060,0.041977
id25688,0.019352,0.968407,0.012241
id17545,0.972556,0.004497,0.022947
id13929,0.535173,0.403174,0.061653
id12880,0.267676,0.348214,0.384110
id19282,0.262058,0.084889,0.653053
id14690,0.039214,0.006061,0.954724
id17975,0.049723,0.926632,0.023644
id08037,0.562908,0.023519,0.413574
id15412,0.087559,0.073105,0.839335
id25032,0.581549,0.124863,0.293588
id27165,0.996539,0.001199,0.002262
id03327,0.797354,0.120554,0.082093
id18515,0.766669,0.035803,0.197528
id21003,0.242860,0.081808,0.675332
id23855,0.008541,0.879122,0.112337
id20724,0.628509,0.229037,0.142454
id13303,0.275441,0.210572,0.513987
id16521,0.014677,0.229039,0.756284
id20775,0.921349,0.061966,0.016685
id13029,0.973803,0.015307,0.010890
id14660,0.604156,0.317647,0.078197
id11028,0.011896,0.001394,0.986710
id14180,0.802153,0.157992,0.039855
id25860,0.992782,0.005002,0.002215
id11910,0.533947,0.037464,0.428588
id08065,0.229481,0.167108,0.603411
id22674,0.224420,0.042032,0.733549
id25018,0.229392,0.028449,0.742159
id10892,0.125870,0.801143,0.072987
id10217,0.245088,0.726468,0.028443
id12996,0.046904,0.799681,0.153415
id18262,0.570662,0.205336,0.224002
id08606,0.012953,0.978919,0.008127
id17233,0.844166,0.045904,0.109931
id00101,0.725065,0.188820,0.086115
id12225,0.879279,0.100795,0.019926
id01364,0.087170,0.888690,0.024140
id24973,0.558699,0.098390,0.342911
id25363,0.734807,0.014475,0.250719
id10061,0.513448,0.118129,0.368423
id17673,0.167749,0.791011,0.041240
id13249,0.393032,0.060323,0.546645
id10107,0.040061,0.009686,0.950253
id04403,0.895518,0.018298,0.086183
id25728,0.684697,0.091617,0.223686
id16184,0.457592,0.059375,0.483033
id03438,0.009671,0.000903,0.989426
id22923,0.079161,0.914451,0.006388
id08610,0.949679,0.023759,0.026562
id25355,0.178482,0.048852,0.772666
id16916,0.451592,0.486520,0.061888
id12793,0.105898,0.834388,0.059714
id11859,0.362986,0.172942,0.464072
id02434,0.996061,0.002275,0.001664
id27703,0.069586,0.015068,0.915346
id25212,0.158081,0.816806,0.025113
id11308,0.047386,0.345687,0.606926
id26094,0.927720,0.044691,0.027589
id22080,0.664762,0.319416,0.015822
id03545,0.965266,0.032018,0.002716
id23725,0.030489,0.069777,0.899733
id12009,0.781345,0.124303,0.094353
id24241,0.450532,0.125643,0.423825
id03596,0.052793,0.927468,0.019740
id10749,0.289329,0.578870,0.131801
id22794,0.026127,0.019724,0.954149
id15482,0.504904,0.353951,0.141144
id04833,0.868999,0.099348,0.031652
id00397,0.037285,0.001687,0.961028
id14691,0.074203,0.038042,0.887755
id05193,0.089103,0.004576,0.906321
id19541,0.580631,0.075672,0.343697
id22166,0.008120,0.014399,0.977481
id20744,0.079125,0.024259,0.896616
id10392,0.017741,0.001862,0.980397
id00770,0.847021,0.112836,0.040143
id06018,0.680219,0.282359,0.037422
id15678,0.266039,0.026721,0.707240
id08305,0.922945,0.051239,0.025816
id08903,0.310422,0.136624,0.552954
id14752,0.543006,0.425802,0.031192
id12468,0.035865,0.948291,0.015844
id05085,0.363268,0.578578,0.058154
id21993,0.158110,0.019348,0.822541
id15503,0.923784,0.068142,0.008074
id03021,0.000440,0.998690,0.000870
id16123,0.983956,0.012240,0.003804
id19383,0.964055,0.026366,0.009578
id04186,0.996432,0.001396,0.002171
id17954,0.033626,0.002653,0.963721
id12030,0.387452,0.022580,0.589968
id13020,0.618290,0.346668,0.035041
id25327,0.037298,0.583459,0.379242
id16344,0.224069,0.127898,0.648033
id12303,0.146408,0.712068,0.141524
id15017,0.964657,0.026444,0.008900
id22308,0.489269,0.155396,0.355335
id06536,0.010414,0.052573,0.937013
id19797,0.095045,0.547792,0.357163
id06332,0.344402,0.526566,0.129031
id22941,0.519499,0.108299,0.372203
id13547,0.133204,0.067104,0.799692
id06928,0.058880,0.005841,0.935279
id12521,0.582000,0.382983,0.035017
id25716,0.871949,0.022636,0.105415
id27116,0.001223,0.000345,0.998432
id19941,0.042867,0.875182,0.081952
id05711,0.003333,0.011024,0.985643
id02097,0.004716,0.030833,0.964451
id03563,0.042098,0.940437,0.017465
id02295,0.285463,0.644641,0.069896
id08179,0.998889,0.000577,0.000534
id05332,0.017582,0.936412,0.046006
id15697,0.717906,0.077722,0.204373
id17026,0.094854,0.033273,0.871873
id04243,0.773299,0.172283,0.054418
id13175,0.999508,0.000373,0.000119
id05387,0.861450,0.025698,0.112852
id19989,0.849886,0.041961,0.108153
id25173,0.340382,0.054585,0.605033
id08925,0.074647,0.914216,0.011137
id03034,0.056620,0.896829,0.046552
id13272,0.002764,0.994998,0.002239
id07956,0.936664,0.031027,0.032308
id02648,0.032478,0.026594,0.940928
id01778,0.335405,0.036502,0.628093
id12846,0.007249,0.000428,0.992323
id19001,0.485088,0.112687,0.402225
id05763,0.580917,0.094754,0.324328
id15590,0.017775,0.007778,0.974446
id04912,0.339268,0.371231,0.289501
id21201,0.844089,0.102368,0.053543
id13215,0.957586,0.014606,0.027808
id15612,0.099212,0.873828,0.026960
id18501,0.049766,0.022627,0.927606
id07223,0.266696,0.519598,0.213706
id06707,0.481941,0.339787,0.178272
id05238,0.003620,0.991204,0.005176
id00935,0.038605,0.148729,0.812666
id00110,0.701401,0.046466,0.252133
id17476,0.918654,0.052430,0.028916
id15170,0.980623,0.015412,0.003966
id13397,0.405084,0.149665,0.445251
id24283,0.104566,0.149738,0.745696
id15234,0.853606,0.136739,0.009655
id16884,0.434641,0.327485,0.237874
id07831,0.220654,0.647565,0.131781
id16038,0.827589,0.148682,0.023728
id03629,0.725776,0.093052,0.181172
id21019,0.731455,0.213648,0.054898
id21835,0.312091,0.262276,0.425633
id04480,0.100394,0.893628,0.005979
id20838,0.548375,0.300325,0.151300
id24195,0.487287,0.263873,0.248840
id05448,0.729628,0.156863,0.113509
id15957,0.127166,0.853625,0.019209
id19956,0.053723,0.002828,0.943450
id15104,0.100200,0.306721,0.593080
id17559,0.610487,0.279144,0.110369
id16839,0.286500,0.234838,0.478662
id14493,0.500125,0.244227,0.255647
id08833,0.774782,0.060491,0.164727
id15723,0.233248,0.242000,0.524753
id02716,0.904719,0.072082,0.023199
id06689,0.087619,0.798662,0.113719
id18837,0.520384,0.202238,0.277378
id04466,0.907566,0.041759,0.050675
id00686,0.735184,0.038526,0.226290
id09010,0.264890,0.708356,0.026755
id23353,0.846733,0.057790,0.095476
id00066,0.606262,0.150819,0.242920
id15724,0.077927,0.839346,0.082728
id23486,0.088633,0.024077,0.887290
id22258,0.199937,0.057892,0.742171
id02292,0.378985,0.474648,0.146367
id16356,0.151613,0.035979,0.812408
id00235,0.721179,0.066591,0.212230
id25522,0.178435,0.015006,0.806559
